Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
G1,27/09/15,Atromitos,PAOK,1,2,A,0,0,D,2.8,3.1,2.6,2.7,3.1,2.6,2.7,2.85,2.6,2.8,2.9,2.62,2.89,3.12,2.79,2.8,2.9,2.6,2.8,3,2.7,38,2.89,2.74,3.15,2.96,2.79,2.6,29,2.71,2.55,1.57,1.48,23,0,2.03,1.94,1.94,1.85
G1,27/09/15,Levadeiakos,Asteras Tripolis,2,1,H,1,0,H,3.1,3.1,2.4,3,3,2.4,2.85,2.9,2.4,3,3,2.4,3.15,3.23,2.51,,,,3,3.13,2.45,37,3.15,2.92,3.25,3.05,2.6,2.4,28,2.49,2.34,1.57,1.55,20,0,2.19,2.09,1.82,1.73
G1,27/09/15,Panathinaikos,Platanias,1,0,H,1,0,H,1.2,6.5,13,1.2,6.25,11.5,1.2,5.25,11,1.22,5.75,13,1.25,6.29,14.64,1.22,5.5,11,1.22,6,13,37,1.25,1.21,6.5,5.74,14.64,11.87,28,1.7,1.65,2.24,2.14,23,-1.75,1.99,1.9,1.98,1.9
G1,27/09/15,Panionios,Panthrakikos,1,1,D,1,0,H,1.75,3.4,5,1.7,3.6,4.75,1.65,3.25,4.95,1.7,3.4,5.5,1.71,3.66,5.93,1.73,3.2,5,1.7,3.4,5.5,38,1.75,1.68,3.66,3.4,5.93,5.11,29,2.5,2.36,1.59,1.54,23,-0.75,2,1.92,1.95,1.87
G1,28/09/15,Veria,AEK,1,2,A,1,0,H,4.75,3.3,1.83,4.4,3.4,1.78,4.3,3.15,1.8,4.33,3.3,1.85,,,,4.41,3.25,1.82,4.5,3.4,1.83,29,4.75,4.34,3.4,3.21,1.9,1.82,21,2.38,2.26,1.62,1.58,15,0.5,2.03,1.97,1.89,1.83
G1,03/10/15,Panetolikos,Panionios,1,5,A,0,4,A,2.15,3.1,3.6,2.15,3,3.5,2.1,2.9,3.5,2.2,3,3.6,2.18,3.19,3.94,2,2.9,4,2.15,3.1,3.7,40,2.2,2.1,3.19,3.02,4,3.58,31,2.71,2.57,1.5,1.46,20,-0.5,2.2,2.12,1.77,1.72
G1,03/10/15,Panthrakikos,Levadeiakos,1,3,A,1,0,H,2.15,3,3.75,2.2,3,3.4,2.15,2.9,3.35,2.15,3,3.6,2.19,3.19,3.85,2.25,2.9,3.3,2.2,3.1,3.6,39,2.25,2.16,3.2,3.02,3.85,3.4,31,2.71,2.56,1.5,1.47,23,-0.25,1.93,1.86,2.01,1.93
G1,03/10/15,Xanthi,Panathinaikos,0,1,A,0,0,D,3.25,3.1,2.3,3.2,3.1,2.25,3.1,2.95,2.25,3.2,3,2.3,3.36,3.19,2.41,3.1,3,2.3,3.13,3.1,2.38,40,3.36,3.09,3.25,3.04,2.41,2.29,31,2.54,2.37,1.57,1.54,21,0.25,1.88,1.81,2.06,1.98
G1,04/10/15,AEK,Atromitos,1,0,H,0,0,D,1.73,3.4,5.25,1.65,3.5,5.25,1.65,3.2,5.25,1.67,3.3,5.75,1.71,3.61,6.07,1.62,3.3,6,1.7,3.4,5.75,39,1.75,1.68,3.61,3.28,6.07,5.43,31,2.71,2.57,1.5,1.46,23,-0.75,2.02,1.94,1.96,1.86
G1,04/10/15,Giannina,Iraklis,2,2,D,1,1,D,1.85,3.25,4.6,1.95,3.4,3.7,1.85,3,4.15,1.91,3.1,4.33,1.96,3.31,4.7,2,2.9,4,1.9,3.2,4.5,39,2,1.91,3.4,3.13,4.7,4.13,31,2.71,2.57,1.5,1.46,23,-0.5,1.97,1.9,1.98,1.9
G1,04/10/15,Kallonis,Veria,0,1,A,0,0,D,2.4,3,3.2,2.45,3,2.95,2.35,2.85,3,2.4,3,3,2.58,3.12,3.16,2.38,2.88,3.1,2.45,3,3.13,35,2.58,2.41,3.17,2.96,3.2,2.96,27,2.71,2.57,1.5,1.47,19,-0.25,2.18,2.07,1.83,1.75
G1,04/10/15,PAOK,Olympiakos,0,2,A,0,2,A,2.7,3.1,2.7,2.7,3.2,2.5,2.65,2.95,2.55,2.75,3.1,2.62,2.75,3.23,2.84,2.88,3,2.45,2.7,3.13,2.7,39,2.88,2.68,3.23,3.03,2.84,2.61,31,2.42,2.3,1.62,1.57,21,0,1.98,1.9,1.97,1.88
G1,05/10/15,Asteras Tripolis,Platanias,1,1,D,1,1,D,,,,1.45,4,7,1.45,3.75,6.75,,,,,,,1.5,3.75,6.5,1.5,3.8,7.5,22,1.5,1.46,4,3.81,7.5,6.87,10,2.3,2.22,1.6,1.59,4,-1,1.83,1.83,2.04,2
G1,17/10/15,Olympiakos,AEK,4,0,H,1,0,H,1.36,5,7.5,1.36,4.75,7.25,1.35,4.3,7.5,1.36,4.5,9,1.37,5.04,10.32,1.36,4.33,8,1.36,4.75,8.5,41,1.4,1.34,5.04,4.56,10.32,8.23,32,1.9,1.79,2,1.95,23,-1.25,1.92,1.86,2.03,1.94
G1,17/10/15,Panionios,Kallonis,2,0,H,1,0,H,1.7,3.75,4.75,1.7,3.5,4.75,1.65,3.3,5.25,1.7,3.4,5.25,1.76,3.57,5.64,1.73,3.2,5,1.7,3.4,5.75,41,1.76,1.69,3.75,3.38,5.75,5.1,32,2.57,2.39,1.58,1.53,20,-0.5,1.76,1.69,2.25,2.16
G1,17/10/15,Platanias,Panthrakikos,4,0,H,2,0,H,1.73,3.6,4.75,1.75,3.5,4.5,1.7,3.1,4.9,1.8,3.25,4.75,1.78,3.49,5.53,1.75,3.1,5,1.75,3.3,5.4,41,1.8,1.74,3.6,3.3,5.53,4.82,32,2.74,2.59,1.51,1.46,21,-0.5,1.84,1.75,2.17,2.07
G1,18/10/15,Asteras Tripolis,Xanthi,1,1,D,1,0,H,1.91,3.2,4.33,1.9,3.3,4,1.85,3.05,4.3,1.85,3.1,4.75,1.89,3.32,5.15,1.85,3,4.6,1.85,3.2,4.75,41,1.91,1.86,3.32,3.15,5.15,4.39,32,2.74,2.57,1.5,1.47,22,-0.5,1.94,1.86,2.03,1.93
G1,18/10/15,Iraklis,PAOK,3,3,D,2,1,H,5,3.5,1.73,4.75,3.5,1.72,4.7,3.15,1.75,4.75,3.3,1.75,5.47,3.53,1.79,5,3.2,1.73,5,3.3,1.8,41,5.47,4.78,3.53,3.28,1.83,1.75,32,2.6,2.47,1.57,1.5,21,0.75,1.83,1.77,2.13,2.05
G1,18/10/15,Levadeiakos,Panetolikos,2,2,D,1,2,A,2.15,3.4,3.3,2.05,3.25,3.5,2.15,2.95,3.3,2.25,3,3.4,2.33,3.19,3.54,2.15,2.9,3.6,2.3,3,3.4,41,2.33,2.2,3.4,3.06,3.6,3.29,32,2.71,2.56,1.5,1.47,21,-0.25,2,1.91,1.93,1.88
G1,18/10/15,Veria,Atromitos,0,1,A,0,0,D,2.5,3.3,2.75,2.55,3.2,2.7,2.5,2.9,2.75,2.6,3,2.88,2.69,3.15,2.99,2.7,2.8,2.75,2.63,3,2.9,39,2.7,2.55,3.3,2.98,2.99,2.8,30,2.71,2.56,1.5,1.47,20,0,1.87,1.8,2.08,2
G1,19/10/15,Panathinaikos,Giannina,3,1,H,1,0,H,1.44,4.33,7,1.42,4.6,6.5,1.4,4,6.25,1.44,4.2,7,1.49,4.52,7.63,1.4,4,8,1.45,4.33,7,40,1.49,1.43,4.7,4.19,8,6.93,34,1.95,1.88,1.98,1.88,22,-1.25,2.17,2.08,1.79,1.74
